Subject,Start Date,Start Time,End Time,Description,Location
"Cine Club: BLADERUNNER (Ridley Scott, 1982)",09/22/2023,7:00 PM,10:00 PM,"This mesmerizing thriller set in a dystopian future follows Harrison Ford as a burnt-out police detective who is forced to take one last assignment: hunting down four deadly androids who have blended in among Los Angeles’ human population. Its vision of the future is dazzling, but its exploration of what it means to be human is what makes this film a classic.","199 Museum Way, San Francisco, CA 94114"
"Cine Club: LA STRADA (Federico Fellini, 1954)",09/29/2023,7:00 PM,10:00 PM,"The simple tale of a young innocent who is sold to the traveling circus by her mother and forced to work as an assistant to a brutish strongman. It's a tough life on the road, and the struggle to make a living takes its toll on both of them. Filled with compelling, vivid performances, particularly by lead actress Giulietta Masina.","199 Museum Way, San Francisco, CA 94114"
"Cine Club: GRAND BUDAPEST HOTEL (Wes Anderson, 2014)",10/06/2023,7:00 PM,10:00 PM,"This wildly entertaining story about the world’s most dedicated hotel concierge is possibly the finest from indie darling Wes Anderson. Its visual style, immaculate art direction and cornucopia of stars (too many to list) will leave you in awe. A maverick artist at the height of his career!","199 Museum Way, San Francisco, CA 94114"
"Cine Club: JULES ET JIM (François Truffaut, 1962)",10/13/2023,7:00 PM,10:00 PM,This jewel of the French “new wave” changed the face of film. The tale of three friends trapped in a classic love triangle whose initially carefree relationships are periled by jealousy. Presented by film mentor Maëlle Le Lingé.,"199 Museum Way, San Francisco, CA 94114"
"Cine Club: FANTASTIC PLANET (René Laloux, 1973)",10/20/2023,7:00 PM,10:00 PM,"In a strange world, humans live in fear of the Traags, giant blue humanoid looking aliens who treat them like animals. This experimental sci-fi film forever changed the animation genre when it was released in the 70’s, and we think it’ll make for a rich discussion.","199 Museum Way, San Francisco, CA 94114"
"Cine Club: INVASION OF THE BODY SNATCHERS (Don Siegel, 1956)",10/27/2023,7:00 PM,10:00 PM,"Let’s ring in the Halloween weekend with this pulp sci-fi classic! In a fictional California town, aliens quietly seek to invade the human race by growing doppelgangers to replace the town’s residents. When a local doctor notices something amiss, he and his friends vow to stop the invasion. Presented by screenwriter Sam Hamm.","199 Museum Way, San Francisco, CA 94114"
"Cine Club: SONGS FROM THE SECOND FLOOR (Roy Andersson, 2000)",11/03/2023,7:00 PM,10:00 PM,"And now for something completely different! A series of the most bizarre scenes you’ll ever see, connected by brilliant visual concepts, droll humor and a fertile imagination. Come and help us make sense of this film that is as entertaining as it is puzzling. Presented by film mentor Javier Briones.","199 Museum Way, San Francisco, CA 94114"
"Cine Club: ORLANDO (Sally Potter, 1992)",11/10/2023,7:00 PM,10:00 PM,"A young nobleman makes a promise to Queen Elizabeth to never grow old… and he doesn’t.  He lives for centuries without major incident until, after narrowly escaping death, he wakes up as a woman! A remarkable adaptation of Virginia Wolfe’s novella that questions the very nature of gender.","199 Museum Way, San Francisco, CA 94114"
"Cine Club: TOUKI BOUKI (Djibril Diop Mambéty, 1973)",11/17/2023,7:00 PM,10:00 PM,"Two Senegalese youths resort to theft as a means to achieve their dream of going to Paris, but it turns out it’s easier said than done. This landmark film of West African cinema received the International Critics Award when it showed at Cannes in the 70’s, and it’s been well loved ever since.","199 Museum Way, San Francisco, CA 94114"
"Cine Club: MUSTANG (Deniz Gamze Ergüven, 2015)",12/01/2023,7:00 PM,10:00 PM,"Five sisters living in a small village in Turkey find their freedom suddenly taken away after a day at the beach ends on a sour note. Afterwards, when they are forbidden to leave the house, they turn to each other to find joy and meaning in their lives. A touching, character driven film about what it means to become a woman in a patriarchal world.","199 Museum Way, San Francisco, CA 94114"
